,2019,2020,2021,2022,2023,2024,2025,2026,2027
current_law_All,30.39,27.29,36.57,40.89,45.68,48.99,52.52,56.29,60.32
reform_All,48.66,44.11,57.65,63.86,70.71,75.40,80.39,85.68,91.31
